business_id,name,categories,latitude,longitude
osm_Rohan Hospital_hospital,Rohan Hospital,hospital,17.3946344,78.4519084
osm_Primary Veternary Hospital_hospital,Primary Veternary Hospital,hospital,17.3979621,78.4543414
osm_Sriven Hospital_hospital,Sriven Hospital,hospital,17.4858906,78.3875314
osm_Vijaya Diagnostic Centre_hospital,Vijaya Diagnostic Centre,hospital,17.494517,78.39876
osm_Medical Store_hospital,Medical Store,hospital,17.4949239,78.3969527
osm_Ankura Hospital for Women & Children_hospital,Ankura Hospital for Women & Children,hospital,17.4729982,78.3872074
osm_Ankura Multispeciality clinic_hospital,Ankura Multispeciality clinic,hospital,17.4731914,78.3872633
osm_Aurobindo Nethralaya_hospital,Aurobindo Nethralaya,hospital,17.491694,78.3958249
osm_Sri Krishna_hospital,Sri Krishna,hospital,17.4103873,78.4844653
osm_Krishnaveni Hospitals_hospital,Krishnaveni Hospitals,hospital,17.328667,78.599351
osm_sri sai womens hospital_hospital,sri sai womens hospital,hospital,17.3709786,78.5425682
osm_Siva Eye Hospital_hospital,Siva Eye Hospital,hospital,17.3703144,78.5276104
osm_Centre For Sight Superspecialty Eye Hospital_hospital,Centre For Sight Superspecialty Eye Hospital,hospital,17.4248083,78.4225617
osm_Vasan Eye Care Hospital_hospital,Vasan Eye Care Hospital,hospital,17.3455423,78.5226305
osm_Pragna Hospital_hospital,Pragna Hospital,hospital,17.4238105,78.449832
osm_Swarup Eye Centre_hospital,Swarup Eye Centre,hospital,17.4232839,78.4505488
osm_Udai Omni Hospital_hospital,Udai Omni Hospital,hospital,17.3969132,78.4722613
osm_Udbhava Children's Hospital_hospital,Udbhava Children's Hospital,hospital,17.4911264,78.4010815
osm_Apoorva Hospital_hospital,Apoorva Hospital,hospital,17.3913878,78.4369875
osm_Ankith Multi Speciality Hospital_hospital,Ankith Multi Speciality Hospital,hospital,17.3503945,78.5105337
osm_Lions Club of Hyderabad Sadhuram Eye Hospital_hospital,Lions Club of Hyderabad Sadhuram Eye Hospital,hospital,17.4077141,78.4781628
osm_Al-Noor Hospital_hospital,Al-Noor Hospital,hospital,17.4033637,78.4172847
"osm_Lotus Children's Hospital, Lakdikapul_hospital","Lotus Children's Hospital, Lakdikapul",hospital,17.4041136,78.4611649
osm_Aruna Hospital_hospital,Aruna Hospital,hospital,17.4760702,78.5640143
osm_Preeti Urology and Kidney Hospital_hospital,Preeti Urology and Kidney Hospital,hospital,17.4912927,78.3969096
osm_Vasan Healthcare Private Limited_hospital,Vasan Healthcare Private Limited,hospital,17.4444929,78.4662196
osm_ADR Hospital_hospital,ADR Hospital,hospital,17.458369,78.5378788
osm_Bristlecone Hospital_hospital,Bristlecone Hospital,hospital,17.3920174,78.4961598
osm_Abhaya Multi Speciality Hospital_hospital,Abhaya Multi Speciality Hospital,hospital,17.5007182,78.3825836
"osm_Care Hospital, Nampally_hospital","Care Hospital, Nampally",hospital,17.3854315,78.4747114
osm_Aarogya Hospital_hospital,Aarogya Hospital,hospital,17.3851141,78.4754102
osm_Arvind Eye Hospital_hospital,Arvind Eye Hospital,hospital,17.3918945,78.4378043
osm_Disha Children's Hospital_hospital,Disha Children's Hospital,hospital,17.3525175,78.5551161
osm_Anvitha Hospital_hospital,Anvitha Hospital,hospital,17.4311263,78.4266108
osm_New Life Line Multi Specialty Hospital_hospital,New Life Line Multi Specialty Hospital,hospital,17.4878467,78.5647274
osm_Homeocare International_hospital,Homeocare International,hospital,17.4432007,78.4796964
osm_Konark Hospitals_hospital,Konark Hospitals,hospital,17.5123618,78.4754596
osm_Sree Netralaya Eye Hospital and Laser Centre_hospital,Sree Netralaya Eye Hospital and Laser Centre,hospital,17.3676358,78.5404511
osm_Leads Medical Centre_hospital,Leads Medical Centre,hospital,17.4252477,78.4537243
osm_Pranaam Hospitals_hospital,Pranaam Hospitals,hospital,17.4966133,78.3398798
osm_Vignesh Nursing Home_hospital,Vignesh Nursing Home,hospital,17.4925267,78.39749
osm_Sridhar Multi Speciality Hospital_hospital,Sridhar Multi Speciality Hospital,hospital,17.344919,78.5087555
osm_Geetha Multi Speciality Hospital_hospital,Geetha Multi Speciality Hospital,hospital,17.447062,78.5082445
osm_Amar Maternity Nursing Home_hospital,Amar Maternity Nursing Home,hospital,17.3987452,78.5069785
osm_Sai Preethi Life Line Hospital_hospital,Sai Preethi Life Line Hospital,hospital,17.3942929,78.4419228
osm_Prasad Hospital_hospital,Prasad Hospital,hospital,17.4920608,78.4015616
osm_Praanadah Hospital_hospital,Praanadah Hospital,hospital,17.4372474,78.3942747
osm_Geeta Clinic And Maternity Home_hospital,Geeta Clinic And Maternity Home,hospital,17.391947,78.4969578
osm_Vasavi Hospital_hospital,Vasavi Hospital,hospital,17.4064439,78.464393
osm_Sankhya Hospital_hospital,Sankhya Hospital,hospital,17.4876454,78.4000755
osm_Kiran Hospital_hospital,Kiran Hospital,hospital,17.3452764,78.5282483
osm_Smt. Bhagwan Devi Hospital_hospital,Smt. Bhagwan Devi Hospital,hospital,17.3644409,78.4731994
